Time,True-Roll,True-Pitch,True-Yaw,Acc-X,Acc-Y,Acc-Z,Gyro-X,Gyro-Y,Gyro-Z,Acc-X-True,Acc-Y-True,Acc-Z-True,Gyro-X-True,Gyro-Y-True,Gyro-Z-True
0.0,0.0,0.15,0.0,-1.2542591929319291,0.32316742728293446,9.994477087697529,0.15202969154310655,-0.017952792481581138,0.09127277295532514,-1.4659880795660083,0.3,9.699844274552575,0.12566287931117903,-0.0006661933657531316,0.1
0.01,0.0012566287931117903,0.14999333806634246,0.001,-1.2217476796705011,0.31851286312386595,9.749941458057524,0.14915395378334415,-0.01697885333875371,0.11887201226216473,-1.4596404398727558,0.31216542592960644,9.699846382056679,0.1256603988335261,-0.0013323571439322057,0.1
0.02,0.0025132079766705217,0.14997335285712135,0.002,-1.2596704083918384,0.2868968761270497,9.873573174972663,0.157173367155045,-0.016830268700785286,0.09451067626659386,-1.4531645581876085,0.32428305529396295,9.699852702247643,0.12565295749849223,-0.00266459594019941,0.1
0.03,0.0037696879430816352,0.14994004614753847,0.003,-1.4478197409725613,0.24225893923035616,9.896008773733678,0.15371782676769588,-0.005042471405186516,0.0909371001468356,-1.4465614425641322,0.3363524724589594,9.699863228162538,0.12564055559984874,-0.003996598051649036,0.1
0.04,0.005026019088667497,0.14989342089608837,0.004,-1.2978824269032025,0.24819161939079704,9.898904070481308,0.15633949193445007,-0.03187885969755677,0.1130150896616942,-1.4398321114410604,0.34837326921537376,9.699877948200205,0.12562319362720117,-0.005328245162149192,0.10000000000000005
0.05,0.006282151815625659,0.1498334812442955,0.005000000000000001,-1.3716130078673834,0.31845451453372575,9.912404207554804,0.16572310463225856,-0.03473872180610191,0.1233058564740395,-1.4329775934848679,0.36034504474921125,9.69989684612683,0.12560087226597058,-0.006659418987106647,0.1
0.06,0.007538036533986908,0.14976023251634624,0.006,-1.2892942217302241,0.23652694114475278,9.948288412379164,0.15872011858623059,-0.004914586104767287,0.11233918479940005,-1.4259989274320946,0.37226740561095695,9.699919901083755,0.12557359239736615,-0.007990001283963988,0.1
0.07,0.008793623663572982,0.1496736812186162,0.007000000000000001,-1.1878094318058876,0.1291990180651822,9.895223069998309,0.14313365304819864,-0.03168378593210189,0.10553854936428293,-1.418897161931429,0.38413996568377295,9.6999470875975,0.1255413550983502,-0.009319873862707884,0.1
0.08,0.010048863635953913,0.14957383503909208,0.008,-1.2351182800052825,0.33109430556742403,9.867491296967554,0.12877824837259472,-0.044904260534342155,0.1097400095441717,-1.411673355385585,0.3959623461506711,9.699978375592035,0.12550416164159617,-0.01064891859636763,0.09999999999999991
0.09,0.011303706896404905,0.14946070284668886,0.009,-1.1599625999525431,0.21241968146449475,9.864072473027665,0.17067297259782024,-0.03456908887749026,0.10707900774330464,-1.4043285757929882,0.407734175460695,9.70001373040322,0.12546201349543815,-0.011977017431503978,0.10000000000000009
0.1,0.012558103905862676,0.149334294690462,0.010000000000000002,-1.2176065870157908,0.2395070656220167,9.847784241604925,0.14205985336497368,-0.033475444588387845,0.08819342368936495,-1.3968639005892949,0.4194550892941411,9.70005311279551,0.12541491232381274,-0.01330405239870075,0.10000000000000009
0.11,0.01381200514288116,0.14919462179871484,0.011000000000000001,-1.3422872026748127,0.32898846586172464,9.958531494249467,0.1383891930470191,-0.006451819976818356,0.08637962620301436,-1.3892804164887655,0.43112473052685213,9.700096478980806,0.1253628599861935,-0.01462990562303701,0.09999999999999991
0.12,0.015065361105586546,0.14904169657800126,0.012,-1.432178827268862,0.33101890836066716,9.842524865555042,0.11939956884418076,-0.017258756425329272,0.1038146535599128,-1.381579219325513,0.442742749193615,9.70014378063955,0.1253058585375175,-0.015954459334564797,0.1
0.13,0.01631812231363151,0.14887553261202355,0.013000000000000001,-1.210591699141938,0.23796736989676837,9.962211385219437,0.15054224367842015,-0.015345496277676753,0.10638941379598196,-1.3737614138946441,0.4543088024506936,9.700194964943975,0.12524391022810458,-0.017277595878763263,0.10000000000000009
0.14,0.017570239310148637,0.148696144660426,0.014000000000000002,-1.2317928655654624,0.3753853919239182,9.894566110728759,0.14744944482657862,-0.0216400695085164,0.10539856812395242,-1.3658281137933197,0.4658225545375311,9.700249974583535,0.1251770175035676,-0.018599197726995587,0.09999999999999991
0.15,0.018821662663702863,0.14850354865748364,0.015,-1.2855065790847369,0.45043772309131025,9.852461695034663,0.1224760186413229,-0.021076016401495132,0.11536436758288494,-1.3577804412617422,0.4772836767376503,9.700308747792498,0.12510518300471712,-0.019919147486945066,0.09999999999999991
0.16,0.02007234297024298,0.1482977617106871,0.016,-1.33489656737909,0.29252435504693786,9.944021211399296,0.15196613488833452,-0.04693219074826905,0.10213001076146482,-1.349619527024104,0.4886918473387871,9.700371218379717,0.12502840956745612,-0.021237327913038728,0.10000000000000009
0.17,0.021322230855051985,0.14807880209922286,0.017,-1.249737909870609,0.495268329389295,9.837030093831531,0.1376963710124503,-0.040819002748596796,0.11371023356016552,-1.3413465101295001,0.5000467515922868,9.70043731576049,0.12494670022266795,-0.02255362191686955,0.09999999999999991
0.18,0.02257127697469634,0.1478466892723497,0.018,-1.1971027997228119,0.280888607109624,9.945511562774529,0.18542939406329195,-0.05403303736924536,0.1029961841841272,-1.3329625377928338,0.5113480816717959,9.700506964990604,0.12486005819609819,-0.023867912577595074,0.10000000000000009
0.19,0.02381943201897395,0.14760144384767096,0.019000000000000003,-1.1200886948558617,0.5866669230605832,9.912523596150567,0.13647869620312053,-0.043707563282449936,0.1325809105075561,-1.3244687652357257,0.5225955366312798,9.700580086802434,0.12476848690822565,-0.0251800831523194,0.10000000000000026
0.2,0.02506664671286085,0.1473430876093033,0.020000000000000004,-1.1501451987565035,0.3953877838266847,9.846769707194632,0.13828769801112922,-0.031426697833235165,0.10635159871204626,-1.3158663555274495,0.5337888223624,9.700656597643201,0.12467198997412765,-0.026490017086465423,0.09999999999999991
0.21,0.026312871818456502,0.14707164350594165,0.021,-1.0290766360306585,0.4518893330227884,9.938202519649373,0.13161446609321134,-0.04089791843169325,0.1401946679410147,-1.3071564794259036,0.5449276515512795,9.700736409715253,0.12457057120333834,-0.027797598024124903,0.09999999999999991
0.22,0.02755805813692762,0.14678713564882082,0.022000000000000002,-1.2318261862024265,0.3009649124590854,9.940083569805926,0.16388316753335802,-0.024672485573526463,0.11050921440441096,-1.2983403152186415,0.5560117436346894,9.700819431018433,0.1244642345996966,-0.029102709818398798,0.10000000000000009
0.23,0.028802156510450434,0.14648958930957368,0.023000000000000003,-1.0702170034541352,0.4587471896668988,9.990582131158172,0.13901354748874686,-0.06282810260544988,0.10199396480198182,-1.2894190485639712,0.5670408247556855,9.700905565394507,0.12435298436118974,-0.03040523654171262,0.09999999999999991
0.24,0.030045117824151413,0.14617903091798656,0.024,-1.1279284651757118,0.4945350958207571,9.972741725761114,0.1336962045447724,-0.03956156194515002,0.09163246694796767,-1.2803938723321415,0.5780146277187298,9.700994712573593,0.12423682487978718,-0.031705062496109604,0.09999999999999991
0.25,0.03128689300804618,0.14585548805965148,0.025,-1.0661890463066364,0.48036886456917105,9.93454493472502,0.15503102420178272,-0.06720438517236631,0.08366291237179174,-1.2712659864466298,0.5889328919443204,9.701086768222604,0.12411576074126528,-0.03300207222353552,0.10000000000000009
0.26,0.03252743303897672,0.14551898947351585,0.026000000000000002,-1.1473626157997443,0.45109024929718716,9.804910920855457,0.12353880154642016,-0.048278112720651606,0.09045555372507957,-1.262036597725543,0.5997953634231677,9.701181623995682,0.12398979672503009,-0.03429615051608326,0.10000000000000009
0.27,0.03376668894254678,0.14516956504932982,0.027000000000000003,-1.0170202062533487,0.4326958992706663,10.090584429378723,0.1533914414451986,-0.03987738580098589,0.09221149363149314,-1.25270691972315,0.6106017946699407,9.701279167586597,0.12385893780392475,-0.03558718242623882,0.10000000000000009
0.28,0.035004611795055214,0.14480724582499108,0.028000000000000004,-1.0705164019482725,0.6091115832789672,9.783423690753239,0.17058120420707823,-0.055368485197956674,0.11143004011441349,-1.2432781725715525,0.621351944676616,9.70137928278308,0.12372318914403435,-0.036875053277084235,0.09999999999999974
0.29,0.03624115272542747,0.14443206398378813,0.028999999999999998,-1.1386346405506123,0.5312978985008947,9.97226987575468,0.1523105843965084,-0.045214608706913226,0.09750727499754988,-1.2337515828225127,0.6320455788654595,9.701481849523079,0.12358255610448524,-0.03815964867248112,0.09999999999999974
0.3,0.03747626291714492,0.14404405285154145,0.03,-1.0755206869878358,0.6636990529891401,9.930234368498956,0.15317307102008845,-0.06913907453140405,0.10825824002312373,-1.2241283832894492,0.6426824690416661,9.701586743952912,0.12343704423722901,-0.039440854507240275,0.10000000000000009
